Wage_Euro,Value_Euro,Name,Age,Nationality,Overall,Potential,Club,Special,Acceleration,Aggression,Agility
160000,37500000,A. Vidal,30,Chile,87,87,FC Bayern Munich,2278,76,93,75
160000,48500000,E. Cavani,30,Uruguay,87,87,Paris Saint-Germain,2097,75,84,81
250000,38000000,Marcelo,29,Brazil,87,87,Real Madrid CF,2209,77,84,77
130000,48500000,M. Hamšík,29,Slovakia,87,87,Napoli,2184,72,56,76
275000,48500000,I. Rakitić,29,Croatia,87,87,FC Barcelona,2129,67,67,72
220000,44000000,David Silva,31,Spain,87,87,Manchester City,1977,72,51,92
91000,29000000,S. Handanovič,32,Slovenia,87,87,Inter,1264,54,25,42
240000,37500000,Piqué,30,Spain,87,87,FC Barcelona,1974,55,72,58
260000,29500000,Iniesta,33,Spain,87,87,FC Barcelona,2073,72,58,79
165000,59000000,H. Kane,23,England,86,90,Tottenham Hotspur,2057,68,74,73
250000,56000000,J. Rodríguez,25,Colombia,86,89,FC Bayern Munich,2118,77,65,82
250000,56500000,Isco,25,Spain,86,90,Real Madrid CF,2105,74,58,83
150000,44500000,D. Alaba,25,Austria,86,88,FC Bayern Munich,2278,86,69,79
210000,59000000,R. Lukaku,24,Belgium,86,90,Manchester United,1997,76,72,62
175000,44000000,Alex Sandro,26,Brazil,86,88,Juventus,2207,84,82,79
190000,47500000,T. Müller,27,Germany,86,86,FC Bayern Munich,2078,76,57,76
250000,36000000,Sergio Busquets,28,Spain,86,86,FC Barcelona,1998,48,85,58
205000,56000000,Coutinho,25,Brazil,86,89,Liverpool,2049,88,55,92
120000,45000000,M. Reus,28,Germany,86,86,Borussia Dortmund,2157,86,49,86
165000,40500000,T. Alderweireld,28,Belgium,86,87,Tottenham Hotspur,2047,62,81,60
190000,33000000,David Luiz,30,Brazil,86,86,Chelsea,2123,68,86,72
235000,46000000,Diego Costa,28,Spain,86,86,Chelsea,1984,74,93,58
130000,42500000,R. Nainggolan,29,Belgium,86,86,Roma,2286,80,88,81
165000,36000000,Javi Martínez,28,Spain,86,86,FC Bayern Munich,1973,49,91,54
135000,43000000,D. Mertens,30,Belgium,86,86,Napoli,2035,93,59,94
110000,34500000,Sokratis,29,Greece,86,86,Borussia Dortmund,1885,71,91,62
115000,25500000,Miranda,32,Brazil,86,86,Inter,1890,67,83,61
295000,44500000,K. Benzema,29,France,86,86,Real Madrid CF,1950,77,65,77
210000,41000000,Cesc Fàbregas,30,Spain,86,86,Chelsea,2118,65,45,65
175000,22500000,F. Ribéry,34,France,86,86,FC Bayern Munich,1965,85,52,88
94000,13500000,Pepe,34,Portugal,86,86,Beşiktaş JK,1839,65,94,63
92000,10500000,P. Čech,35,Czech Republic,86,86,Arsenal,1206,40,17,49
77000,51500000,Y. Carrasco,23,Belgium,85,90,Atlético Madrid,1991,87,61,91
175000,46500000,R. Varane,24,France,85,92,Real Madrid CF,1875,77,77,58
195000,42000000,Casemiro,25,Brazil,85,89,Real Madrid CF,2138,63,87,66
115000,45000000,L. Insigne,26,Italy,85,86,Napoli,1949,94,34,96
180000,48500000,A. Lacazette,26,France,85,88,Arsenal,2063,84,70,87
165000,24500000,K. Navas,30,Costa Rica,85,85,Real Madrid CF,1301,54,32,60
195000,39000000,H. Mkhitaryan,28,Armenia,85,85,Manchester United,2148,88,69,89
46000,22000000,D. Subašić,32,Croatia,85,85,AS Monaco,1305,51,31,42
61000,34000000,B. Leno,25,Germany,85,88,Bayer 04 Leverkusen,1247,46,28,52
155000,35500000,M. ter Stegen,25,Germany,85,89,FC Barcelona,1274,38,43,37
60000,30000000,K. Glik,29,Poland,85,85,AS Monaco,1612,53,86,34
215000,30500000,Jordi Alba,28,Spain,85,85,FC Barcelona,2206,93,75,90
190000,46000000,I. Gündoğan,26,Germany,85,87,Manchester City,2148,73,68,83
160000,37500000,Azpilicueta,27,Spain,85,87,Chelsea,2099,78,80,75
145000,37500000,A. Di María,29,Argentina,85,85,Paris Saint-Germain,2115,86,73,92
160000,43500000,M. Pjanić,27,Bosnia Herzegovina,85,86,Juventus,2172,74,68,79
160000,33000000,C. Marchisio,31,Italy,85,85,Juventus,2210,78,78,81
130000,28500000,J. Vertonghen,30,Belgium,85,85,Tottenham Hotspur,2079,68,83,62
145000,28500000,B. Matuidi,30,France,85,85,Juventus,2172,79,85,76
49000,24500000,S. Ruffier,30,France,85,85,AS Saint-Étienne,1257,45,31,51
81000,25000000,Filipe Luís,31,Brazil,85,85,Atlético Madrid,2134,75,81,74
170000,26000000,V. Kompany,31,Belgium,85,85,Manchester City,1913,61,87,60
105000,5000000,A. Barzagli,36,Italy,85,85,Juventus,1750,64,70,51
150000,35500000,E. Bailly,23,Ivory Coast,84,89,Manchester United,1890,75,87,63
175000,46000000,Marco Asensio,21,Spain,84,92,Real Madrid CF,1998,79,45,78
165000,43500000,Bernardo Silva,22,Portugal,84,91,Manchester City,2012,85,58,88
36000,35500000,A. Laporte,23,France,84,89,Athletic Club de Bilbao,1919,68,72,49
115000,43000000,D. Alli,21,England,84,90,Tottenham Hotspur,2122,77,84,74
175000,39000000,S. Mané,25,Senegal,84,87,Liverpool,2046,94,73,89
195000,32000000,Carvajal,25,Spain,84,87,Real Madrid CF,2039,76,81,82
120000,39500000,J. Draxler,23,Germany,84,87,Paris Saint-Germain,2017,76,48,81
105000,42000000,M. Icardi,24,Argentina,84,89,Inter,1866,75,55,74
170000,41000000,Morata,24,Spain,84,88,Chelsea,1862,78,54,62
96000,32500000,K. Koulibaly,26,Senegal,84,87,Napoli,1610,69,87,50
39000,31000000,T. Horn,24,Germany,84,90,1. FC Köln,1260,45,41,50
84000,39500000,Koke,25,Spain,84,88,Atlético Madrid,2129,72,71,77
96000,31500000,K. Manolas,26,Greece,84,86,Roma,1638,78,86,68
145000,31500000,S. Mustafi,25,Germany,84,86,Arsenal,1942,64,79,66
190000,32000000,Ander Herrera,27,Spain,84,84,Manchester United,2213,76,86,84
105000,35000000,K. Strootman,27,Netherlands,84,85,Roma,2165,65,86,65
200000,30500000,Pedro,29,Spain,84,84,Chelsea,1987,84,56,84
69000,26000000,R. Bürki,26,Switzerland,84,86,Borussia Dortmund,1257,44,35,51
59000,18500000,Bruno,33,Spain,84,84,Villarreal CF,2059,42,79,53
110000,31500000,I. Perišić,28,Croatia,84,84,Inter,2078,81,59,78
115000,28000000,E. Džeko,31,Bosnia Herzegovina,84,84,Roma,1861,67,51,57
200000,31500000,Willian,28,Brazil,84,84,Chelsea,2061,91,44,89
160000,29000000,S. Khedira,30,Germany,84,84,Juventus,2157,60,82,59
54000,25000000,R. Fährmann,28,Germany,84,85,FC Schalke 04,1190,38,36,39
46000,25000000,Sergio Asenjo,28,Spain,84,85,Villarreal CF,1341,59,20,62
195000,30500000,Juan Mata,29,Spain,84,84,Manchester United,1982,71,52,85
145000,23000000,M. Benatia,30,Morocco,84,84,Juventus,1764,72,82,59
60000,29500000,D. Payet,30,France,84,84,Olympique de Marseille,2076,79,57,79
68000,28000000,Falcao,31,Colombia,84,84,AS Monaco,2010,73,75,85
150000,21000000,L. Koscielny,31,France,84,84,Arsenal,1866,74,88,68
160000,21000000,G. Cahill,31,England,84,84,Chelsea,1839,62,84,62
115000,9000000,Dani Alves,34,Brazil,84,84,Paris Saint-Germain,2208,79,78,85
60000,31000000,A. Gómez,29,Argentina,84,84,Atalanta,2013,94,56,92
38000,11000000,Aduriz,36,Spain,84,84,Athletic Club de Bilbao,1987,69,82,53
31000,41500000,K. Mbappé,18,France,83,94,Paris Saint-Germain,2050,89,62,78
150000,40000000,O. Dembélé,20,France,83,92,FC Barcelona,1969,93,54,90
68000,34000000,N. Keïta,22,Guinea,83,88,RB Leipzig,2055,82,77,90
53000,28500000,J. Giménez,22,Uruguay,83,87,Atlético Madrid,1760,68,89,57
28000,25500000,G. Rulli,25,Argentina,83,89,Real Sociedad,1284,54,26,58
37000,38500000,T. Lemar,21,France,83,91,AS Monaco,2171,86,63,85
70000,34000000,João Mário,24,Portugal,83,88,Inter,2098,71,61,81
78000,30500000,N. Süle,21,Germany,83,89,FC Bayern Munich,1630,51,81,33
87000,26000000,Ederson,23,Brazil,83,89,Manchester City,1320,64,35,60
37000,29500000,Fabinho,23,Brazil,83,88,AS Monaco,2114,73,83,71
135000,32500000,M. Salah,25,Egypt,83,86,Liverpool,2032,93,63,86
58000,37000000,A. Belotti,23,Italy,83,90,Torino,1935,80,83,79
75000,31500000,E. Forsberg,25,Sweden,83,85,RB Leipzig,1949,78,62,85
75000,30500000,Marquinhos,23,Brazil,83,89,Paris Saint-Germain,1869,69,80,66
21000,27500000,William Carvalho,25,Portugal,83,86,Sporting CP,1967,52,75,45
135000,29500000,S. Umtiti,23,France,83,88,FC Barcelona,2109,72,80,68
88000,30500000,R. Mahrez,26,Algeria,83,84,Leicester City,1935,85,40,92
89000,27500000,V. van Dijk,25,Netherlands,83,86,Southampton,2011,69,78,57
135000,34000000,Roberto Firmino,25,Brazil,83,87,Liverpool,2101,77,66,82
18000,27500000,Danilo Pereira,25,Portugal,83,86,FC Porto,2029,67,88,58
68000,27000000,Vitolo,27,Spain,83,83,UD Las Palmas,1983,81,61,75
60000,22500000,A. Lopes,26,Portugal,83,86,Olympique Lyonnais,1317,60,35,65
56000,29000000,S. de Vrij,25,Netherlands,83,88,Lazio,1783,68,74,61
28000,25000000,M. Perin,24,Italy,83,88,Genoa,1246,57,25,70
110000,26500000,J. Matip,25,Cameroon,83,85,Liverpool,1884,60,81,58
115000,24500000,I. Gueye,27,Senegal,83,84,Everton,2045,78,84,75
39000,26000000,Iago Aspas,29,Spain,83,83,RC Celta de Vigo,2012,84,63,88
140000,20000000,N. Otamendi,29,Argentina,83,83,Manchester City,1886,62,90,69
140000,21000000,N. Matić,28,Serbia,83,83,Manchester United,2120,62,83,56
100000,25500000,J. Pastore,28,Argentina,83,83,Paris Saint-Germain,2066,69,65,79
45000,25500000,Parejo,28,Spain,83,83,Valencia CF,2089,55,,69
75000,26000000,S. Kagawa,28,Japan,83,83,Borussia Dortmund,1874,76,30,92
115000,26500000,G. Bonaventura,27,Italy,83,83,Milan,2197,78,68,81
28000,27000000,B. Dost,28,Netherlands,83,83,Sporting CP,1809,54,72,38
130000,24000000,K. Walker,27,England,83,84,Manchester City,2164,86,78,70
0,0,Oscar,25,Brazil,83,86,,1961,75,31,86
25000,21000000,S. N'Zonzi,28,France,83,83,Sevilla FC,2032,52,87,43
105000,27000000,M. Musacchio,26,Argentina,83,86,Milan,1917,72,81,72
66000,24500000,O. Toprak,27,Turkey,83,84,Borussia Dortmund,1864,72,73,64
87000,24500000,José Callejón,30,Spain,83,83,Napoli,1987,90,54,85
0,0,Adrien Silva,28,Portugal,83,83,,2174,64,79,73
15000,25000000,S. Giovinco,30,Italy,83,83,Toronto FC,1961,88,75,92
70000,25500000,N. Gaitán,29,Argentina,83,83,Atlético Madrid,2006,84,57,87
135000,23500000,M. Mandžukić,31,Croatia,83,83,Juventus,2104,68,88,67
135000,25000000,A. Lallana,29,England,83,83,Liverpool,2141,74,74,83
50000,20000000,B. Höwedes,29,Germany,83,83,Juventus,1862,62,79,63
27000,25500000,E. Banega,29,Argentina,83,83,Sevilla FC,2086,71,69,84
19000,17500000,Rui Patrício,29,Portugal,83,83,Sporting CP,1350,53,39,61
39000,21000000,Y. Sommer,28,Switzerland,83,84,Borussia Mönchengladbach,1299,48,38,55
115000,25500000,M. Schneiderlin,27,France,83,85,Everton,2078,67,83,73
21000,16500000,Jonas,33,Brazil,83,83,SL Benfica,2006,66,61,77
73000,25000000,K. Gameiro,30,France,83,83,Atlético Madrid,2040,88,66,82
66000,14500000,L. Piszczek,32,Poland,83,83,Borussia Dortmund,2143,73,83,66
40000,19000000,E. Garay,30,Argentina,83,83,Valencia CF,1952,39,74,57
130000,17000000,A. Valencia,31,Ecuador,83,83,Manchester United,2185,88,83,75
65000,19000000,K. Schmeichel,30,Denmark,83,84,Leicester City,1355,62,33,62
115000,25000000,M. Dembélé,29,Belgium,83,83,Tottenham Hotspur,2186,75,74,82
80000,20000000,Borja Valero,32,Spain,83,83,Inter,2089,73,52,80
46000,17500000,L. Perrin,31,France,83,83,AS Saint-Étienne,2046,67,81,64
105000,17500000,L. Biglia,31,Argentina,83,83,Milan,2129,70,83,76
62000,14500000,Juanfran,32,Spain,83,83,Atlético Madrid,2080,76,78,75
19000,6000000,Diego López,35,Spain,83,83,RCD Espanyol,1200,34,36,48
130000,19500000,Santi Cazorla,32,Spain,83,83,Arsenal,2120,68,64,79
155000,10500000,J. Mascherano,33,Argentina,83,83,FC Barcelona,1984,67,88,72
47000,15500000,W. Sneijder,33,Netherlands,83,83,OGC Nice,1976,70,55,77
47000,24500000,Nani,30,Portugal,83,83,Lazio,1949,84,62,92
73000,10500000,D. De Rossi,33,Italy,83,83,Roma,2115,69,84,68
59000,10500000,José Reina,34,Spain,83,83,Napoli,1291,50,32,50
67000,15500000,Quaresma,33,Portugal,83,83,Beşiktaş JK,1962,85,62,91
145000,12500000,Y. Touré,34,Ivory Coast,83,83,Manchester City,2161,61,78,58
10000,3500000,Casillas,36,Spain,83,83,FC Porto,1293,59,23,62
35000,28500000,G. Donnarumma,18,Italy,82,94,Milan,1266,46,30,64
125000,34500000,L. Sané,21,Germany,82,91,Manchester City,2001,93,58,89
105000,26000000,T. Bakayoko,22,France,82,88,Chelsea,1973,75,85,66
98000,30500000,C. Tolisso,22,France,82,89,FC Bayern Munich,2205,79,81,77
100000,22000000,I. Slimani,29,Algeria,82,82,Leicester City,1988,66,86,64
70000,28000000,N. Fekir,23,France,82,85,Olympique Lyonnais,2011,79,69,84
45000,26000000,J. Seri,25,Ivory Coast,82,83,OGC Nice,2178,84,73,83
46000,32500000,K. Baldé Diao,22,Senegal,82,90,AS Monaco,1929,93,54,82
47000,26000000,J. Tah,21,Germany,82,88,Bayer 04 Leverkusen,1651,64,70,48
110000,30500000,F. Bernardeschi,23,Italy,82,88,Juventus,1995,84,52,85
68000,30500000,T. Werner,21,Germany,82,87,RB Leipzig,1901,92,63,79
150000,30000000,André Gomes,23,Portugal,82,88,FC Barcelona,2087,71,81,67
115000,33000000,A. Martial,21,France,82,90,Manchester United,2053,92,59,85
46000,30000000,L. Goretzka,22,Germany,82,88,FC Schalke 04,2198,83,84,76
76000,28000000,Q. Promes,25,Netherlands,82,85,Spartak Moscow,2002,86,60,87
185000,26000000,Lucas Vázquez,26,Spain,82,83,Real Madrid CF,2005,83,65,82
59000,32000000,Saúl,22,Spain,82,90,Atlético Madrid,2092,72,66,76
20000,18000000,Felipe,28,Brazil,82,82,FC Porto,1799,65,84,63
125000,21500000,C. Bacca,30,Colombia,82,82,Villarreal CF,1872,76,62,76
27000,22500000,F. Vázquez,28,Italy,82,82,Sevilla FC,1992,62,80,71
150000,30000000,M. Kovačić,23,Croatia,82,88,Real Madrid CF,2054,85,71,77
16000,21500000,Sergio Rico,23,Spain,82,87,Sevilla FC,1225,50,27,62
43000,27500000,Manu Trigueros,25,Spain,82,85,Villarreal CF,2117,73,68,78
105000,24500000,A. Rüdiger,24,Germany,82,86,Chelsea,1838,73,89,63
40000,28000000,F. Thauvin,24,France,82,85,Olympique de Marseille,1966,88,56,81
62000,24000000,S. Savić,26,Montenegro,82,86,Atlético Madrid,1692,60,83,60
37000,24000000,Iñigo Martínez,26,Spain,82,86,Real Sociedad,1961,70,86,67
85000,18000000,Roque Mesa,28,Spain,82,82,Swansea City,2009,76,92,77
73000,22000000,A. Florenzi,26,Italy,82,84,Roma,2265,86,79,87
110000,27500000,D. Klaassen,24,Netherlands,82,85,Everton,2108,73,76,67
67000,23000000,K. Bellarabi,27,Germany,82,82,Bayer 04 Leverkusen,1965,91,59,86
140000,29500000,R. Sterling,22,England,82,87,Manchester City,1960,94,34,91
110000,29500000,Suso,23,Spain,82,87,Milan,1911,84,23,86
165000,31000000,Deulofeu,23,Spain,82,89,FC Barcelona,1946,93,40,93
85000,25000000,E. Dier,23,England,82,87,Tottenham Hotspur,2045,70,90,56
130000,21000000,M. Rojo,27,Argentina,82,83,Manchester United,2045,70,92,72
92000,28000000,Lucas,24,Brazil,82,85,Paris Saint-Germain,2049,95,67,94
95000,28000000,H. Son,24,Korea Republic,82,85,Tottenham Hotspur,1975,87,60,79
68000,17000000,F. Acerbi,29,Italy,82,82,Sassuolo,1815,65,73,33
110000,27500000,G. Xhaka,24,Switzerland,82,85,Arsenal,1993,48,92,53
31000,23000000,Jonathan Viera,27,Spain,82,82,UD Las Palmas,2099,86,56,89
19000,23000000,Pizzi,27,Portugal,82,82,SL Benfica,2165,83,68,87
42000,29000000,Willian José,25,Brazil,82,86,Real Sociedad,1923,65,65,60
37000,18000000,O. Baumann,27,Germany,82,84,TSG 1899 Hoffenheim,1209,47,32,45
64000,17000000,G. Medel,29,Chile,82,82,Beşiktaş JK,2013,74,89,78
43000,20000000,Víctor Ruíz,28,Spain,82,83,Villarreal CF,1833,54,82,56
85000,28000000,X. Shaqiri,25,Switzerland,82,85,Stoke City,2073,87,64,88
130000,21500000,J. Cuadrado,29,Colombia,82,82,Juventus,2111,90,70,91
70000,26000000,C. Immobile,27,Italy,82,83,Lazio,1948,77,77,77
115000,24000000,Douglas Costa,26,Brazil,82,82,Juventus,2016,96,55,91
115000,22000000,N. Clyne,26,England,82,84,Liverpool,2057,82,76,83
85000,17000000,Iborra,29,Spain,82,82,Leicester City,2062,49,78,54
71000,18500000,K. Trapp,26,Germany,82,84,Paris Saint-Germain,1194,45,30,42
99000,23000000,V. Wanyama,26,Kenya,82,85,Tottenham Hotspur,2103,60,90,71
1000,21500000,Taison,29,Brazil,82,82,Shakhtar Donetsk,2045,93,56,89
1000,21500000,Marlos,29,Brazil,82,82,Shakhtar Donetsk,2060,85,58,92
56000,23000000,L. Stindl,28,Germany,82,82,Borussia Mönchengladbach,2173,74,74,71
51000,24500000,M. Balotelli,26,Italy,82,82,OGC Nice,1887,77,70,70
130000,25500000,A. Ramsey,26,Wales,82,83,Arsenal,2114,67,73,76
90000,18000000,W. Szczęsny,27,Poland,82,84,Juventus,1250,51,40,55
130000,23000000,G. Sigurðsson,27,Iceland,82,82,Everton,2096,65,57,72
21000,23000000,Y. Brahimi,27,Algeria,82,82,FC Porto,1971,86,46,93
125000,22500000,M. Arnautović,28,Austria,82,82,West Ham United,2094,76,81,72
115000,21500000,J. Henderson,27,England,82,84,Liverpool,2183,73,80,73
47000,22000000,M. Kruse,29,Germany,82,82,SV Werder Bremen,2053,74,63,75
30000,13500000,O. Karnezis,31,Greece,82,82,Watford,1212,44,18,45
18000,18000000,L. Fejsa,28,Serbia,82,82,SL Benfica,1942,52,91,56
57000,13500000,F. Muslera,31,Uruguay,82,82,Galatasaray SK,1370,60,32,68
54000,15000000,V. Ćorluka,31,Croatia,82,82,Lokomotiv Moscow,1922,49,81,57
130000,27000000,G. Wijnaldum,26,Netherlands,82,85,Liverpool,2167,79,64,82
73000,16500000,F. Fazio,30,Argentina,82,82,Roma,1611,31,84,29
140000,21500000,O. Giroud,30,France,82,82,Arsenal,1933,51,76,59
73000,9000000,B. Ivanović,33,Serbia,82,82,Zenit St. Petersburg,1984,63,86,57
135000,22000000,J. Hernández,29,Mexico,82,82,West Ham United,1917,84,59,81
35000,20500000,Beñat,30,Spain,82,82,Athletic Club de Bilbao,2106,65,79,71
64000,20000000,L. Bender,28,Germany,82,83,Bayer 04 Leverkusen,2038,66,78,65
0,0,A. Witsel,28,Belgium,82,82,,2143,67,78,82
110000,9000000,C. Bravo,34,Chile,82,82,Manchester City,1464,58,40,64
64000,14000000,A. Begović,30,Bosnia Herzegovina,82,82,Bournemouth,1233,52,42,53
48000,6500000,Naldo,34,Brazil,82,82,FC Schalke 04,1949,67,71,50
140000,23500000,D. Sturridge,27,England,82,82,Liverpool,1882,74,60,75
99000,21000000,D. Rose,26,England,82,83,Tottenham Hotspur,2117,80,87,73
46000,22500000,C. Vela,28,Mexico,82,82,Real Sociedad,1963,87,57,86
37000,13500000,E. Viviano,31,Italy,82,82,Sampdoria,1162,30,18,35
72000,20500000,G. Castro,30,Germany,82,82,Borussia Dortmund,2156,73,64,83
29000,21000000,S. Nasri,30,France,82,82,Antalyaspor,1931,78,33,85
115000,12500000,A. Williams,32,Wales,82,82,Everton,1759,62,83,58
31000,12500000,S. Mandanda,32,France,82,82,Olympique de Marseille,1217,53,37,52
115000,12500000,L. Baines,32,England,82,82,Everton,2211,73,74,74
52000,14000000,A. Consigli,30,Italy,82,82,Sassuolo,1182,48,11,57
48000,20500000,João Moutinho,30,Portugal,82,82,AS Monaco,2192,73,74,79
46000,15000000,B. Costil,29,France,82,82,Girondins de Bordeaux,1171,49,22,38
73000,15000000,Raúl Albiol,31,Spain,82,82,Napoli,1737,57,79,53
110000,14000000,J. Hart,30,England,82,82,West Ham United,1318,59,28,50
85000,20000000,M. Gómez,31,Germany,82,82,VfL Wolfsburg,1832,68,72,63
54000,17500000,Raffael,32,Brazil,82,82,Borussia Mönchengladbach,2051,77,66,84
170000,20500000,A. Turan,30,Turkey,82,82,FC Barcelona,2141,75,80,82
130000,12500000,Fernandinho,32,Brazil,82,82,Manchester City,2150,73,86,77
12000,10000000,David Villa,35,Spain,82,82,New York City Football Club,1997,72,67,75
115000,8500000,S. Lichtsteiner,33,Switzerland,82,82,Juventus,2072,76,82,77
30000,12500000,R. Jarstein,32,Norway,82,82,Hertha BSC Berlin,1185,40,34,35
115000,31000000,Gabriel Jesus,20,Brazil,81,92,Manchester City,1967,89,56,93
125000,20500000,Nélson Semedo,23,Portugal,81,87,FC Barcelona,2037,91,77,88
20000,25000000,Gelson Martins,22,Portugal,81,88,Sporting CP,2007,95,57,94
47000,24500000,Malcom,20,Brazil,81,87,Girondins de Bordeaux,1943,86,51,93
46000,21000000,J. Weigl,21,Germany,81,87,Borussia Dortmund,1940,74,64,77
70000,21500000,D. Sánchez,21,Colombia,81,88,Tottenham Hotspur,1745,65,85,62
50000,22000000,A. Kramarić,26,Croatia,81,83,TSG 1899 Hoffenheim,1949,78,73,79
64000,23000000,M. Brozović,24,Croatia,81,85,Inter,2113,72,68,74
31000,24500000,Williams,23,Spain,81,87,Athletic Club de Bilbao,1953,92,66,78
26000,17000000,Dani García,27,Spain,81,82,SD Eibar,1938,57,88,67
86000,23000000,A. Christensen,21,Denmark,81,89,Chelsea,1720,,73,
81000,20500000,J. Kimmich,22,Germany,81,87,FC Bayern Munich,2158,76,74,83
63000,24000000,Bruma,22,Portugal,81,86,RB Leipzig,1982,94,64,93
62000,24500000,D. Berardi,22,Italy,81,87,Sassuolo,1996,85,80,87
34000,24000000,M. Sanson,22,France,81,87,Olympique de Marseille,2183,77,76,83
77000,23500000,A. Rabiot,22,France,81,86,Paris Saint-Germain,2097,72,74,75
58000,24000000,R. Guerreiro,23,Portugal,81,86,Borussia Dortmund,2171,83,69,88
89000,17000000,J. Vardy,30,England,81,81,Leicester City,2047,91,92,78
16000,23000000,H. Ziyech,24,Morocco,81,85,Ajax,2043,74,66,77
91000,21000000,M. Keane,24,England,81,87,Everton,1888,73,68,63
71000,22000000,Jorginho,25,Italy,81,84,Napoli,2114,74,78,82
91000,21000000,Héctor Bellerín,22,Spain,81,88,Arsenal,2005,96,72,84
50000,18000000,J. Butland,24,England,81,87,Stoke City,1225,38,32,48
44000,21000000,S. Zaza,26,Italy,81,82,Valencia CF,1971,79,85,77
77000,18500000,T. Meunier,25,Belgium,81,84,Paris Saint-Germain,2141,72,73,63
57000,24000000,Felipe Anderson,24,Brazil,81,86,Lazio,2043,94,67,90
140000,23500000,Rafinha,24,Brazil,81,86,FC Barcelona,2078,74,44,80
145000,17500000,Nacho Fernández,27,Spain,81,83,Real Madrid CF,1838,72,74,60
125000,15000000,J. Cillessen,28,Netherlands,81,83,FC Barcelona,1287,54,25,48
140000,19500000,Sergi Roberto,25,Spain,81,86,FC Barcelona,2071,76,64,69
26000,21000000,W. Ben Yedder,26,France,81,82,Sevilla FC,2015,84,55,91
135000,18500000,Lucas Pérez,28,Spain,81,81,RC Deportivo de La Coruña,2005,80,67,74
105000,24000000,R. Barkley,23,England,81,86,Everton,2021,77,73,70
45000,22500000,C. Bakambu,26,DR Congo,81,84,Villarreal CF,1967,86,62,80
60000,22500000,W. Zaha,24,Ivory Coast,81,84,Crystal Palace,1897,89,68,89
61000,18000000,Bartra,26,Spain,81,83,Borussia Dortmund,2010,78,79,73
79000,19000000,S. Aurier,24,Ivory Coast,81,85,Tottenham Hotspur,2136,84,83,76
21000,18000000,S. Coates,26,Uruguay,81,83,Sporting CP,1723,50,82,33
